Listing Title,Property Type,Listing Type,City,Zipcode,Bedrooms,Bathrooms,Max Guests,Airbnb Superhost,Host Listing Count,Instantbook Enabled,Pets Allowed,Average Daily Rate (USD),Cleaning Fee (USD),Annual Revenue LTM (USD),Extra People Fee (USD),Count Available Days LTM,Count Reservation Days LTM,Occupancy Rate LTM,Number of Bookings LTM,Overall Rating,Airbnb Communication Rating,Airbnb Accuracy Rating,Airbnb Cleanliness Rating,Airbnb Checkin Rating,Airbnb Location Rating,Airbnb Value Rating,Latitude,Longitude
Spacious & Private Townhome | 5 mins drive to Al Maktoum Airport,Entire rental unit,entire_home,Dubai,25314,3,2,6,f,,False,False,145,0.0,3126,0.0,28,18,77,9,5.0,10.0,10.0,2.0,2.0,2.0,10.0,24.86716,55.13921
Spacious and Ornate 2BR Apartment in Dubai South,Entire rental unit,entire_home,Dubai,25314,2,2,4,f,164.0,False,False,79,54.0,21815,0.0,333,217,78,24,4.2,8.0,8.0,9.0,8.0,8.0,8.0,24.867,55.14
Exceptional 2BR near Expo City Dubai!,Entire rental unit,entire_home,دبي,25314,2,2,4,f,,False,False,70,0.0,14717,0.0,219,176,96,14,4.3,9.0,8.0,9.0,9.0,8.0,9.0,24.86729,55.13924
Stylish Apartment Surrounded by Lush Green Parks!,Entire rental unit,entire_home,Dubai,25314,2,3,5,f,556.0,True,False,192,0.0,41775,0.0,253,182,86,9,4.4,8.0,9.0,10.0,8.0,7.0,9.0,24.862,55.143
OFFER! 50% OFF! I am very cool and sleep 6!,Entire condo,entire_home,Dubai,25314,2,2,6,t,,False,False,74,0.0,4461,0.0,137,50,44,6,5.0,10.0,10.0,10.0,10.0,9.0,10.0,24.863,55.147
bnbmehomes | Elegant 3 BR | Dubai South,Entire condo,entire_home,Dubai,25314,3,2,6,f,156.0,True,True,124,101.0,28949,0.0,313,173,66,33,4.3,9.0,9.0,9.0,9.0,8.0,9.0,24.86049,55.15084
Studio Apartment Near Al Maktoum Airport,Room in aparthotel,entire_home,Dubai,25314,1,1,2,f,,False,False,114,0.0,6817,0.0,115,50,52,18,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.86731,55.14499
Family-Friendly Villa 1br with Play Area+Pool. UAE,Entire townhouse,entire_home,Dubai,25314,1,1,4,f,,False,True,64,0.0,2376,0.0,58,31,64,1,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.886,55.068
Private Room + Balcony in a Villa,Private room in rental unit,private_room,Dubai,25314,Studio,1,2,f,,False,True,35,0.0,1109,0.0,132,26,24,6,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.887,55.068
amazing one-bedroom townhouse,Entire townhouse,entire_home,Dubai,25314,1,1,4,f,,False,True,73,0.0,876,0.0,30,10,40,0,3.0,10.0,6.0,4.0,6.0,4.0,4.0,24.887,55.068
